Address,Award,City,Country,Cuisine,Location,Name,Phone Number,Price,Url,Latitude,Longitude,Price_NumRating
"2F, The Pottinger Hotel, 21 Stanley Street, Hong Kong",3 Stars MICHELIN,Hong Kong,Hong Kong,Innovative,"Hong Kong, Hong Kong SAR China",Ta Vie,85226686488,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/ta-vie,22.282766,114.15529,4
"6F, Four Seasons Hotel, 8 Finance Street, Hong Kong",3 Stars MICHELIN,Hong Kong,Hong Kong,French Contemporary,"Hong Kong, Hong Kong SAR China",Caprice,85231968860,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/caprice,22.2857149,114.1590497,4
"7F, The Landmark Mandarin Oriental Hotel, 15 Queen's Road Central, Hong Kong",3 Stars MICHELIN,Hong Kong,Hong Kong,Sushi,"Hong Kong, Hong Kong SAR China",Sushi Shikon,85226436800,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/sushi-shikon,22.2808567,114.1574159,4
"1-2F, The Langham Hotel, 8 Peking Road, Hong Kong",3 Stars MICHELIN,Hong Kong,Hong Kong,Cantonese,"Hong Kong, Hong Kong SAR China",T'ang Court,85221327898,$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/t-ang-court,22.296572,114.1698,3
"43F, Grand Lisboa Hotel, Avenida de Lisboa, Macau",3 Stars MICHELIN,Macau,N/A,French Contemporary,Macau,Robuchon au Dôme,85388037878,$$$$,https://guide.michelin.com/en/macau-region/macau/restaurant/robuchon-au-dome,22.189949,113.54395,4
"Shop 202, 2F, Alexandra House, 18 Chater Road, Hong Kong",3 Stars MICHELIN,Hong Kong,N/A,Italian,Hong Kong,8 1/2 Otto e Mezzo - Bombana,85225378859,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,22.2814635,114.15867,4
"2F, Grand Lisboa Hotel, Avenida de Lisboa, Macau",3 Stars MICHELIN,Macau,N/A,Cantonese,Macau,The Eight,85388037788,$$$$,https://guide.michelin.com/en/macau-region/macau/restaurant/the-eight,22.190475,113.54341,4
"Shop 401, 4F, Landmark Atrium, 15 Queen's Road Central, Hong Kong",3 Stars MICHELIN,Hong Kong,N/A,French Contemporary,Hong Kong,L'Atelier de Joël Robuchon,85221669000,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,22.281199,114.15816,4
"2F, The Shops at the Boulevard, City of Dreams, Estrada do Istmo, Macau",3 Stars MICHELIN,Macau,N/A,Cantonese,Macau,Jade Dragon,85388682822,$$$,https://guide.michelin.com/en/macau-region/macau/restaurant/jade-dragon,22.149137,113.56715,3
"1F, Sino Plaza, 255-257 Gloucester Road, Hong Kong",3 Stars MICHELIN,Hong Kong,N/A,Cantonese,Hong Kong,Forum,85228698282,$$$$,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/forum,22.2814401,114.1821991,4
"Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands",3 Stars MICHELIN,Zwolle,Netherlands,Modern Cuisine,"Zwolle, Netherlands",De Librije,31388530000,€€€€,https://guide.michelin.com/en/overijssel/zwolle/restaurant/de-librije,52.5153644,6.0980183,4
"Zandweg 2, Kruiningen, 4416 NA, Netherlands",3 Stars MICHELIN,Kruiningen,Netherlands,Modern Cuisine,"Kruiningen, Netherlands",Inter Scaldes,31113381753,€€€€,https://guide.michelin.com/en/zeeland/kruiningen/restaurant/inter-scaldes,51.4571608,4.0241076,4
"Luisenstraße 27, Munich, 80333, Germany",3 Stars MICHELIN,Munich,Germany,"Creative, Modern Cuisine","Munich, Germany",JAN,498923708658,€€€€,https://guide.michelin.com/en/bayern/mnchen/restaurant/jan-1204321,48.1447975,11.5629878,4
"Tonbachstraße 237, Baiersbronn, 72270, Germany",3 Stars MICHELIN,Baiersbronn,Germany,"Classic French, Creative","Baiersbronn, Germany",Schwarzwaldstube,497442492665,€€€€,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/schwarzwaldstube,48.5369113,8.3582803,4
"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",3 Stars MICHELIN,Baiersbronn,Germany,Classic French,"Baiersbronn, Germany",Restaurant Bareiss,497442470,€€€€,https://guide.michelin.com/en/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,48.5205845,8.3269876,4
"Chausseestraße 8, Berlin, 10115, Germany",3 Stars MICHELIN,Berlin,Germany,"Modern Cuisine, Creative","Berlin, Germany",Rutz,493024628760,€€€€,https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz,52.5283507,13.3860867,4
"Parkstraße 1, Wolfsburg, 38440, Germany",3 Stars MICHELIN,Wolfsburg,Germany,"Creative, Modern Cuisine","Wolfsburg, Germany",Aqua,495361606056,€€€€,https://guide.michelin.com/en/niedersachsen/wolfsburg/restaurant/aqua79029,52.4331722,10.789999,4
"Auf'm Eichelfeld 1, Dreis, 54518, Germany",3 Stars MICHELIN,Dreis,Germany,Classic French,"Dreis, Germany",Waldhotel Sonnora,49657898220,€€€€,https://guide.michelin.com/en/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,49.9377323,6.8109342,4
"Bahnhofstraße 8a, Piesport, 54498, Germany",3 Stars MICHELIN,Piesport,Germany,"Modern French, Creative","Piesport, Germany",schanz. restaurant.,49650792520,€€€€,https://guide.michelin.com/en/rheinland-pfalz/piesport/restaurant/schanz-restaurant,49.8776003,6.9266002,4
"Schlossstraße 27, Perl, 66706, Germany",3 Stars MICHELIN,Perl,Germany,Creative,"Perl, Germany",Victor's Fine Dining by christian bau,49686679118,€€€€,https://guide.michelin.com/en/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,49.5351732,6.3872109,4
"Shanghaiallee 15, Hamburg, 20457, Germany",3 Stars MICHELIN,Hamburg,Germany,"Creative, International","Hamburg, Germany",The Table Kevin Fehling,494022867422,€€€€,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/the-table-kevin-fehling,53.5426688,10.0029635,4
"9 Conduit Street, Mayfair, London, W1S 2XG, United Kingdom",3 Stars MICHELIN,London,United Kingdom,Modern French,"London, United Kingdom",Sketch (The Lecture Room & Library),442076594500,££££,https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,51.5126775,-0.1415369,4
"Cavendish Street, Cartmel, LA11 6QA, United Kingdom",3 Stars MICHELIN,Cartmel,United Kingdom,Creative British,"Cartmel, United Kingdom",L'Enclume,441539536362,££££,https://guide.michelin.com/en/cumbria/cartmel/restaurant/l-enclume,54.20103,-2.954595,4
"Park Lane, Mayfair, London, W1K 1QA, United Kingdom",3 Stars MICHELIN,London,United Kingdom,French,"London, United Kingdom",Alain Ducasse at The Dorchester,442076298866,££££,https://guide.michelin.com/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,51.505445,-0.15192,4
"Carlos Place, Mayfair, London, W1K 2AL, United Kingdom",3 Stars MICHELIN,London,United Kingdom,Modern Cuisine,"London, United Kingdom",Hélène Darroze at The Connaught,442031477200,££££,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,51.510188,-0.1492905,4
"High Street, Bray, SL6 2AQ, United Kingdom",3 Stars MICHELIN,Bray,United Kingdom,Creative,"Bray, United Kingdom",Fat Duck,441628580333,££££,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/fat-duck,51.5078582,-0.7017529,4
"92 Kensington Park Road, North Kensington, London, W11 2PN, United Kingdom",3 Stars MICHELIN,London,United Kingdom,Modern British,"London, United Kingdom",CORE by Clare Smyth,442039375086,££££,https://guide.michelin.com/en/greater-london/london/restaurant/core-by-clare-smyth,51.5126689,-0.2030649,4
"68-69 Royal Hospital Road, Chelsea, London, SW3 4HP, United Kingdom",3 Stars MICHELIN,London,United Kingdom,French,"London, United Kingdom",Restaurant Gordon Ramsay,442073524441,££££,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,51.4854381,-0.1621766,4
"Ferry Road, Bray, SL6 2AT, United Kingdom",3 Stars MICHELIN,Bray,United Kingdom,Classic French,"Bray, United Kingdom",Waterside Inn,441628620691,££££,https://guide.michelin.com/en/windsor-and-maidenhead/bray/restaurant/waterside-inn,51.5091092,-0.6994376,4
"Rumbeeksesteenweg 300, Roeselare, 8800, Belgium",3 Stars MICHELIN,Roeselare,Belgium,Creative French,"Roeselare, Belgium",Boury,3251626462,€€€€,https://guide.michelin.com/en/west-vlaanderen/roeselare/restaurant/boury,50.9374466,3.1403981,4
"Hanzestedenplaats 5, Antwerpen, 2000, Belgium",3 Stars MICHELIN,Antwerpen,Belgium,Creative,"Antwerpen, Belgium",Zilte,3232834040,€€€€,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-zilte,51.228828,4.4047543,4
"Riemegemstraat 1, Kruishoutem, 9770, Belgium",3 Stars MICHELIN,Kruishoutem,Belgium,Creative,"Kruishoutem, Belgium",Hof van Cleve,3293835848,€€€€,https://guide.michelin.com/en/oost-vlaanderen/kruishoutem/restaurant/hof-van-cleve,50.9039501,3.5098648,4
"Plage de la Bouillabaisse, Saint-Tropez, 83990, France",3 Stars MICHELIN,Saint-Tropez,France,"Creative, Modern Cuisine","Saint-Tropez, France",La Vague d'Or - Cheval Blanc St-Tropez,33494559100,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-tropez/restaurant/la-vague-d-or-cheval-blanc-st-tropez,43.2665849,6.6261535,4
"Hameau de  Saint-Marcel, Saint-Martin-de-Belleville, 73440, France",3 Stars MICHELIN,Saint-Martin-de-Belleville,France,"Creative, Regional Cuisine","Saint-Martin-de-Belleville, France",René et Maxime Meilleur,33479089677,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-martin-de-belleville/restaurant/rene-et-maxime-meilleur,45.3690463,6.5133065,4
"5 rue du Coq-Héron, Paris, 75001, France",3 Stars MICHELIN,Paris,France,"Modern Cuisine, Creative","Paris, France",Kei,33142331474,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kei,48.8643947,2.3422847,4
"5 avenue Saint-Victor, Fontjoncouse, 11360, France",3 Stars MICHELIN,Fontjoncouse,France,Creative,"Fontjoncouse, France",Auberge du Vieux Puits,33468440737,€€€€,https://guide.michelin.com/en/occitanie/fontjoncouse/restaurant/auberge-du-vieux-puits,43.0481728,2.7893292,4
"Larsiallas, Saint-Bonnet-le-Froid, 43290, France",3 Stars MICHELIN,Saint-Bonnet-le-Froid,France,Creative,"Saint-Bonnet-le-Froid, France",Restaurant Marcon,33471599372,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-bonnet-le-froid/restaurant/regis-et-jacques-marcon,45.1386734,4.4342679,4
"40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, France",3 Stars MICHELIN,Reims,France,Creative,"Reims, France",Assiette Champenoise,33326846464,€€€€,https://guide.michelin.com/en/grand-est/reims/restaurant/assiette-champenoise,49.2478347,4.0032666,4
"728 route de Villerest, Ouches, 42155, France",3 Stars MICHELIN,Ouches,France,Creative,"Ouches, France",Troisgros - Le Bois sans Feuilles,33477716697,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/ouches/restaurant/troisgros-le-bois-sans-feuilles,46.01033,3.99236,4
"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France",3 Stars MICHELIN,Annecy,France,Creative,"Annecy, France",Le Clos des Sens,33450230790,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/annecy/restaurant/le-clos-des-sens,45.9176317,6.1445765,4
"3 rue Marie-Lemonnier, L'Herbaudière, 85330, France",3 Stars MICHELIN,L'Herbaudière,France,"Creative, Seafood","L'Herbaudière, France",La Marine,33251392309,€€€€,https://guide.michelin.com/en/pays-de-la-loire/l-herbaudire/restaurant/la-marine3780,47.0237104,-2.2999341,4
"Avenue de Revestel, Cassis, 13260, France",3 Stars MICHELIN,Cassis,France,"Creative, Mediterranean Cuisine","Cassis, France",La Villa Madie,33496180000,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/cassis/restaurant/la-villa-madie,43.2110889,5.544944,4
"Place de l'Impératrice, Eugénie-les-Bains, 40320, France",3 Stars MICHELIN,Eugénie-les-Bains,France,Classic Cuisine,"Eugénie-les-Bains, France",Les Prés d'Eugénie - Michel Guérard,33558050607,€€€€,https://guide.michelin.com/en/nouvelle-aquitaine/eugnie-les-bains/restaurant/les-pres-d-eugenie-michel-guerard,43.696604,-0.3797229,4
"Route de Suresnes - bois de Boulogne, Paris, 75016, France",3 Stars MICHELIN,Paris,France,"Modern Cuisine, Classic Cuisine","Paris, France",Le Pré Catelan,33144144114,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-pre-catelan,48.8639374,2.2507182,4
"Le Jardin Alpin, Courchevel 1850, Courchevel, 73120, France",3 Stars MICHELIN,Courchevel,France,Creative,"Courchevel, France",Le 1947 à Cheval Blanc,33479005050,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/courchevel/restaurant/le-1947,45.4094877,6.6338696,4
"Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France",3 Stars MICHELIN,Paris,France,Modern Cuisine,"Paris, France",Épicure,33153434340,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/epicure,48.871762,2.314625,4
"84 rue de Varenne, Paris, 75007, France",3 Stars MICHELIN,Paris,France,Creative,"Paris, France",Arpège,33147050906,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/arpege,48.855731,2.3169648,4
"9 place des Vosges, Paris, 75004, France",3 Stars MICHELIN,Paris,France,Classic Cuisine,"Paris, France",L'Ambroisie,33142785145,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-ambroisie,48.855494,2.3645215,4
"Place du Casino, Monaco, 98000, France",3 Stars MICHELIN,Monaco,France,"Mediterranean Cuisine, Modern Cuisine","Monaco, France",Le Louis XV - Alain Ducasse à l'Hôtel de Paris,37798068864,€€€€,https://guide.michelin.com/en/monaco-region/monaco/restaurant/le-louis-xv-alain-ducasse-a-l-hotel-de-paris,43.7391839,7.4271047,4
"36 place d'Armes, Chagny, 71150, France",3 Stars MICHELIN,Chagny,France,Modern Cuisine,"Chagny, France",Maison Lameloise,33385876565,€€€€,https://guide.michelin.com/en/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,46.9078385,4.7529917,4
"Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France",3 Stars MICHELIN,Paris,France,Modern Cuisine,"Paris, France",Le Cinq,33149527154,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-cinq6102,48.8687604,2.3008612,4
"Mas de Baumanière, Les Baux-de-Provence, 13520, France",3 Stars MICHELIN,Les Baux-de-Provence,France,Creative,"Les Baux-de-Provence, France",L'Oustau de Baumanière,33490543307,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/les-baux-de-provence/restaurant/l-oustau-de-baumaniere,43.7402659,4.7873628,4
"285 avenue Victor-Hugo, Valence, 26000, France",3 Stars MICHELIN,Valence,France,Creative,"Valence, France",Pic,33475441532,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/valence/restaurant/pic,44.9177848,4.8854965,4
"8 quai du Louvre, Paris, 75001, France",3 Stars MICHELIN,Paris,France,Creative,"Paris, France",Plénitude - Cheval Blanc Paris,33179355011,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/plenitude-cheval-blanc-paris,48.8588148,2.3421588,4
"6 rue Balzac, Paris, 75008, France",3 Stars MICHELIN,Paris,France,Creative,"Paris, France",Pierre Gagnaire,33158361250,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pierre-gagnaire6112,48.8732506,2.3003862,4
"1775 route du Leutaz, Le Leutaz, Megève, 74120, France",3 Stars MICHELIN,Megève,France,Modern Cuisine,"Megève, France",Flocons de Sel,33450214999,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/megve/restaurant/flocons-de-sel,45.82354,6.60007,4
"8 avenue Dutuit, Paris, 75008, France",3 Stars MICHELIN,Paris,France,Creative,"Paris, France",Alléno Paris au Pavillon Ledoyen,33153051000,€€€€,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alleno-paris-au-pavillon-ledoyen,48.8660932,2.3164993,4
"Anse de Maldormé, Marseille, 13007, France",3 Stars MICHELIN,Marseille,France,Seafood,"Marseille, France",Le Petit Nice,33491592592,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,43.2803346,5.3521929,4
"9 rue François-Rocca, Marseille, 13008, France",3 Stars MICHELIN,Marseille,France,Creative,"Marseille, France",AM par Alexandre Mazzia,33491248363,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/marseille/restaurant/am-par-alexandre-mazzia,43.2701104,5.3862325,4
"30 avenue Aristide-Briand, Menton, 06500, France",3 Stars MICHELIN,Menton,France,Creative,"Menton, France",Mirazur,33492418686,€€€€,https://guide.michelin.com/en/provence-alpes-cote-dazur/menton/restaurant/mirazur,43.7859304,7.5280514,4
"Place du Marché, Vonnas, 01540, France",3 Stars MICHELIN,Vonnas,France,Classic Cuisine,"Vonnas, France",Georges Blanc,33474509090,€€€€,https://guide.michelin.com/en/auvergne-rhone-alpes/vonnas/restaurant/georges-blanc,46.2201083,4.9894987,4
"Grinzinger Straße 86, Vienna, 1190, Austria",3 Stars MICHELIN,Vienna,Austria,"Creative, Contemporary","Vienna, Austria",Amador,436609070500,€€€€,https://guide.michelin.com/en/vienna/wien/restaurant/amador,48.2539745,16.3586534,4
"2 Wudaoying Hutong, Dongcheng, Beijing, China Mainland",3 Stars MICHELIN,Beijing,China Mainland,Vegetarian,"Beijing, China Mainland",King's Joy,861084049191,¥¥¥,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/king-s-joy,39.946681,116.410004,3
"1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, China Mainland",3 Stars MICHELIN,Beijing,China Mainland,Taizhou,"Beijing, China Mainland",Xin Rong Ji (Xinyuan South Road),861065015501,¥¥¥¥,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-xinyuan-south-road,39.94638,116.450148,4
"101-102, Building No. 1, Garden Office, No.161, Lane 465, Zhenning Road, Shanghai, China Mainland",3 Stars MICHELIN,Shanghai,China Mainland,Innovative,"Shanghai, China Mainland",Taian Table,8617301605350,¥¥¥¥,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/taian-table,31.221807,121.474049,4
"'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F, Bund 18, 18 Zhongshan Dong Yi Road, Shanghai, China Mainland",3 Stars MICHELIN,Shanghai,China Mainland,Innovative,"Shanghai, China Mainland",Ultraviolet by Paul Pairet,,¥¥¥¥,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/ultraviolet-by-paul-pairet,31.240358,121.48509,4
"Mallorca 259, Barcelona, 08008, Spain",3 Stars MICHELIN,Barcelona,Spain,Creative,"Barcelona, Spain",Lasarte,34934453242,€€€€,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,41.3936278,2.1622018,4
"Avenida del Tibidabo 1, Barcelona, 08022, Spain",3 Stars MICHELIN,Barcelona,Spain,Creative,"Barcelona, Spain",ABaC,34933196600,€€€€,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,41.4103822,2.1367664,4
"Taquígraf Serra 20, Barcelona, 08029, Spain",3 Stars MICHELIN,Barcelona,Spain,Creative,"Barcelona, Spain",Cocina Hermanos Torres,34934100020,€€€€,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cocina-hermanos-torres,41.3865273,2.1400168,4
"Paseo del Padre Orcolaga 56, Donostia / San Sebastián, 20008, Spain",3 Stars MICHELIN,Donostia / San Sebastián,Spain,"Creative, Traditional Cuisine","Donostia / San Sebastián, Spain",Akelaŕe,34943311209,€€€€,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/akelare,43.3027805,-2.0731493,4
"Plaza San Mateo 1, Cáceres, 10003, Spain",3 Stars MICHELIN,Cáceres,Spain,Creative,"Cáceres, Spain",Atrio,34927242928,€€€€,https://guide.michelin.com/en/extremadura/cceres/restaurant/atrio,39.4730183,-6.3713456,4
"Rascassa 1, Dénia, 03700, Spain",3 Stars MICHELIN,Dénia,Spain,Creative,"Dénia, Spain",Quique Dacosta,34965784179,€€€€,https://guide.michelin.com/en/comunidad-valenciana/dnia/restaurant/quique-dacosta,38.8537884,0.0852209,4
"Francisco Cossi Ochoa, El Puerto de Santa María, 11500, Spain",3 Stars MICHELIN,El Puerto de Santa María,Spain,"Creative, Innovative","El Puerto de Santa María, Spain",Aponiente,34606225859,€€€€,https://guide.michelin.com/en/andalucia/el-puerto-de-santa-maria/restaurant/aponiente,36.6033273,-6.2164435,4
"Padre Damián 23, Madrid, 28036, Spain",3 Stars MICHELIN,Madrid,Spain,Creative,"Madrid, Spain",DiverXO,34915700766,€€€€,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/diverxo,40.4582913,-3.6856715,4
"Loidi 4, Lasarte - Oria, 20160, Spain",3 Stars MICHELIN,Lasarte - Oria,Spain,Creative,"Lasarte - Oria, Spain",Martín Berasategui,34943366471,€€€€,https://guide.michelin.com/en/pais-vasco/lasarte-oria/restaurant/martin-berasategui,43.2664755,-2.0152402,4
"Legina Auzoa, Larrabetzu, 48195, Spain",3 Stars MICHELIN,Larrabetzu,Spain,Creative,"Larrabetzu, Spain",Azurmendi,34944558359,€€€€,https://guide.michelin.com/en/pais-vasco/larrabetzu/restaurant/azurmendi,43.26065,-2.81454,4
"Can Sunyer 48, Girona, 17007, Spain",3 Stars MICHELIN,Girona,Spain,Creative,"Girona, Spain",El Celler de Can Roca,34972222157,€€€€,https://guide.michelin.com/en/catalunya/girona/restaurant/el-celler-de-can-roca,41.9932026,2.807927,4
"Plaza del Sol, Villaverde de Pontones, 39793, Spain",3 Stars MICHELIN,Villaverde de Pontones,Spain,Modern Cuisine,"Villaverde de Pontones, Spain",Cenador de Amós,34942508243,€€€€,https://guide.michelin.com/en/cantabria/villaverde-de-pontones/restaurant/cenador-de-amos,43.4124884,-3.6988243,4
"Avenida Alcalde José Elosegi 273, Donostia / San Sebastián, 20015, Spain",3 Stars MICHELIN,Donostia / San Sebastián,Spain,"Creative, Traditional Cuisine","Donostia / San Sebastián, Spain",Arzak,34943278465,€€€€,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/arzak,43.3214016,-1.9490932,4
"7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",3 Stars MICHELIN,Tokyo,Japan,"French, Contemporary","Tokyo, Japan",L'OSIER,81335716050,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/l-osier,35.669667,139.761203,4
"1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan",3 Stars MICHELIN,Tokyo,Japan,"French, Contemporary","Tokyo, Japan",Quintessence,81362770090,¥¥¥¥,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/quintessence-1193907,35.624038,139.732977,4
